Filtered Flow (ml/min)
359.596
318.975
318.975
301.346
287.32
277.483
278.296
296.486
330.04
361.915
392.197
410.635
413.111
400.983
380.578
359.812
340.085
321.344
303.992
291.202
283.521
314.218
314.218
343.857
372.014
398.763
411.128
407.141
391.682
370.223
348.493
327.849
309.582
294.103
282.824
280.681
294.822
325.454
382.199
382.199
408.684
408.684
399.631
380.729
359.458
339.251
320.054
302.313
288.544
279.657
283.615
304.189
337.369
368.89
398.835
413.197
413.197
399.924
377.997
356.422
335.925
317.198
301.338
288.86
284.439
294.543
322.317
349.986
376.271
401.242
410.119
386.458
386.458
364.786
344.198
324.639
306.54
291.888
281.466
282.356
299.304
333.75
366.474
397.561
415.486
417.245
406.32
384.482
363.086
342.76
306.869
306.869
292.876
286.12
292.09
316.388
346.792
403.114
403.114
412.128
412.128
395.953
373.62
352.403
332.247
313.354
297.686
286.046
284.231
328.151
328.151
357.51
385.401
407.359
412.303
404.379
384.081
362.578
342.151
322.745
305.81
290.519
282.254
285.008
305.648
337.79
368.325
397.333
411.459
397.372
397.372
374.522
352.815
332.194
313.339
297.052
284.395
280.299
289.362
317.111
344.05
369.642
393.954
397.53
397.53
379.352
357.753
337.234
317.741
300.765
285.727
276.7
276.685
293.556
328.184
361.081
392.333
410.531
413.268
380.329
380.329
359.134
338.999
319.871
302.849
289.023
283.202
288.376
313.27
344.145
373.476
401.341
412.628
410.309
393.611
371.191
329.657
329.657
295.605
295.605
284.736
282.043
294.886
326.345
356.231
384.623
405.907
411.567
403.549
382.629
361.298
341.033
321.782
289.157
289.157
281.59
283.182
304.214
337.515
369.15
413.462
413.462
413.908
399.401
376.934
355.59
335.313
316.969
299.694
287.505
282.538
291.372
319.989
347.246
373.141
397.741
406.892
402.28
383.301
361.921
341.609
304.927
304.927
289.035
280.238
278.904
296.175
329.324
360.817
390.734
407.955
411.716
399.907
378.462
358.09
338.435
319.762
302.434
289.261
282.623
287.739
312.731
369.095
369.095
395.182
407.322
405.405
388.749
367.428
347.174
327.932
309.996
293.396
283.648
279.872
293.213
323.536
352.343
379.71
400.554
407.604
399.175
379.216
339.072
339.072
320.184
302.874
288.509
280.793
282.442
303.955
336.625
367.662
397.146
411.752
412.595
397.765
376.787
356.458
336.905
318.329
300.923
289.355
283.009
292.376
319.498
345.265
369.743
392.937
402.977
397.497
379.213
338.537
338.537
319.373
301.86
277.812
277.812
276.361
294.177
326.667
357.533
386.855
404.811
409.036
397.208
377.064
356.699
336.4
317.115
299.748
