Flow
843.557
810.576
810.576
782.029
722.122
722.122
722.122
722.122
852.522
871.012
852.522
852.522
830.425
830.425
773.306
830.425
830.425
720.72
720.72
720.72
720.72
668.606
741.528
662.554
729.926
729.926
741.528
729.926
903.146
916.808
916.808
887.642
887.642
887.642
794.836
794.836
794.836
844.443
794.836
844.443
874.041
844.443
890.791
890.791
837.977
832.577
760.278
760.278
834.83
760.278
834.83
834.83
799.114
724.144
724.144
724.144
799.114
870.255
870.255
955.04
955.04
714.548
714.548
714.548
714.548
815.615
829.185
850.476
851.067
850.476
851.067
851.067
831.705
661.693
831.705
831.705
835.498
835.498
835.498
835.498
878.284
888.857
888.857
888.857
888.857
768.385
768.385
721.647
867.654
721.647
867.654
867.654
867.654
827.375
827.375
781.636
706.247
706.247
706.247
796.55
858.513
905.986
905.986
914.916
914.916
792.721
792.721
792.721
769.867
769.867
769.867
753.23
769.867
846.98
915.407
860.932
860.932
860.932
821.613
821.613
810.856
810.856
810.856
810.856
757.642
757.642
768.065
768.065
768.065
768.065
784.639
727.691
784.639
784.639
821.385
841.486
861.901
841.486
841.486
794.926
794.926
794.926
755.336
913.636
913.636
737.805
712.338
737.805
737.805
686.343
732.021
813.205
813.205
732.021
813.205
813.205
817.01
817.01
833.694
817.01
817.01
741.68
690.606
690.606
690.606
690.606
757.686
757.686
757.686
778.041
778.041
778.041
830.809
830.809
782.876
711.851
731.303
731.303
782.876
871.021
871.021
871.021
858.945
839.01
839.01
839.01
761.628
879.351
879.351
783.233
783.233
784.11
784.11
785.825
833.697
809.82
847.189
863.827
863.827
825.268
825.268
825.268
819.276
819.276
814.793
814.793
814.793
832.354
832.354
875.437
875.437
882.753
875.437
887.073
887.073
887.073
879.773
940.231
940.231
940.231
948.474
948.474
948.474
918.369
918.369
918.369
969.473
969.473
969.473
969.473
908.418
908.418
894.061
894.061
889.376
876.781
864.286
852.692
852.692
780.759
864.286
780.759
877.419
773.975
825.731
773.975
825.731
825.731
851.122
851.122
851.122
851.122
791.258
791.258
948.715
948.715
948.715
948.715
943.963
943.963
943.963
887.915
943.963
831.339
831.339
837.893
956.621
867.356
956.621
956.621
956.621
925.98
1007.05
1007.05
925.98
925.98
958.942
918.186
788.364
788.364
788.364
788.364
885.747
885.747
885.747
885.747
960.639
829.996
856.763
823.759
856.763
823.759
856.763
900.916
900.916
894.927
894.927
879.101
879.101
879.101
